[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241101, Home Team: BKN, Away Team: CHI, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250320, Home Team: SAC, Away Team: CHI, Game Time: 10:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250409, Home Team: CHI, Away Team: MIA, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250406, Home Team: CHA, Away Team: CHI, Game Time: 1:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250110, Home Team: CHI, Away Team: WAS, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241221, Home Team: CHI, Away Team: BOS, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241126, Home Team: WAS, Away Team: CHI, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20241113, Home Team: NY, Away Team: CHI, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.094 [main] rapidapiDaoTest - Game Date: 20250313, Home Team: CHI, Away Team: BKN, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20241219, Home Team: BOS, Away Team: CHI, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20241228, Home Team: CHI, Away Team: MIL, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250119, Home Team: POR, Away Team: CHI, Game Time: 9:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250315, Home Team: HOU, Away Team: CHI, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250131, Home Team: TOR, Away Team: CHI, Game Time: 7:30p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250127, Home Team: CHI, Away Team: DEN, Game Time: 8:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20250408, Home Team: CLE, Away Team: CHI, Game Time: 7:00p
[INFO ] 2024-12-04 15:19:07.095 [main] rapidapiDaoTest - Game Date: 20241122, Home Team: CHI, Away Team: ATL, Game Time: 8:00p
